,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
75,INFRATEL,EQ,31-Aug-2017,384.75,386.8,387.55,367.05,376.25,375.2,375.51,7483962,2810292124.55,57475,6220154,83.11,8,2017,388.6027386684894,-0.024821312540610818,Slight or No change
76,INFRATEL,EQ,01-Sep-2017,375.2,376.3,381.85,375.3,380.6,379.7,379.57,1242702,471696622.65,47695,837952,67.43,9,2017,388.5448291126135,0.011993603411513787,Slight or No change
77,INFRATEL,EQ,04-Sep-2017,379.7,380.0,380.6,375.45,376.55,377.75,377.85,751845,284084777.85,18414,406619,54.08,9,2017,388.5025137628774,-0.005135633394785288,Slight or No change
78,INFRATEL,EQ,05-Sep-2017,377.75,378.55,379.25,368.2,372.15,371.85,371.63,1819271,676094391.9,35361,904866,49.74,9,2017,388.34604377665164,-0.015618795499669047,Slight or No change
79,INFRATEL,EQ,06-Sep-2017,371.85,372.25,373.5,367.5,370.85,371.45,370.94,1404720,521072436.8,49410,915742,65.19,9,2017,388.2243441735863,-0.0010757025682399668,Slight or No change
80,INFRATEL,EQ,07-Sep-2017,371.45,371.45,373.9,368.4,370.0,370.15,370.65,1122445,416035049.35,51535,789662,70.35,9,2017,388.12091344309897,-0.003499798088571815,Slight or No change
81,INFRATEL,EQ,08-Sep-2017,370.15,374.4,374.65,368.65,370.7,370.65,370.64,2528475,937142106.15,78578,1487128,58.82,9,2017,387.8985652450983,0.001350803728218386,Slight or No change
82,INFRATEL,EQ,11-Sep-2017,370.65,371.5,372.15,366.5,370.0,369.5,369.18,731573,270079705.9,18967,375212,51.29,9,2017,387.83106509998163,-0.003102657493592287,Slight or No change
83,INFRATEL,EQ,12-Sep-2017,369.5,369.5,370.8,363.65,370.05,370.1,368.58,2831964,1043808644.7,89907,2070149,73.1,9,2017,387.5827740000827,0.0016238159675237007,Slight or No change
84,INFRATEL,EQ,13-Sep-2017,370.1,371.6,374.35,366.4,370.0,370.65,370.73,4210770,1561049882.05,43492,3038987,72.17,9,2017,387.2374087274394,0.0014860848419344652,Slight or No change
85,INFRATEL,EQ,14-Sep-2017,370.65,370.9,373.95,368.5,370.3,370.05,369.9,1571003,581107281.6,34142,1204050,76.64,9,2017,387.1076059083198,-0.0016187778227437777,Slight or No change
86,INFRATEL,EQ,15-Sep-2017,370.05,374.65,382.9,369.65,377.05,374.0,376.38,11439738,4305709510.05,195549,8587051,75.06,9,2017,386.42434542941726,0.010674233211728223,Slight or No change
87,INFRATEL,EQ,18-Sep-2017,374.0,374.5,392.0,374.5,391.0,389.1,385.77,2752803,1061944430.25,73080,1230718,44.71,9,2017,386.4574919765694,0.04037433155080228,Slight or No change
88,INFRATEL,EQ,19-Sep-2017,389.1,390.75,399.9,388.15,397.1,398.3,394.78,1956748,772488906.15,29602,1017774,52.01,9,2017,386.56086426720174,0.023644307375995766,Slight or No change
89,INFRATEL,EQ,20-Sep-2017,398.3,396.7,400.95,393.05,395.35,393.95,396.01,1469249,581830265.85,30417,833818,56.75,9,2017,386.60897892797396,-0.010921416018076835,Slight or No change
90,INFRATEL,EQ,21-Sep-2017,393.95,395.9,399.55,386.6,387.4,387.65,391.05,2118175,828310291.05,62531,1477596,69.76,9,2017,386.61866063226336,-0.015991877141769306,Slight or No change
91,INFRATEL,EQ,22-Sep-2017,387.65,386.0,394.55,385.2,390.2,390.0,390.14,1615279,630191007.5,47609,858240,53.13,9,2017,386.6424727242592,0.0060621694827809325,Slight or No change
92,INFRATEL,EQ,25-Sep-2017,390.0,388.75,397.4,387.3,389.55,391.35,391.79,2575008,1008857204.55,90266,1640909,63.72,9,2017,386.69473451420544,0.003461538461538627,Slight or No change
93,INFRATEL,EQ,26-Sep-2017,391.35,394.0,394.0,373.85,376.4,376.4,387.86,1827778,708930756.45,73385,1000488,54.74,9,2017,386.61424440007136,-0.038201098760700214,Slight or No change
94,INFRATEL,EQ,27-Sep-2017,376.4,379.8,386.4,376.25,383.55,382.65,381.31,2082260,793987638.55,47303,1213460,58.28,9,2017,386.57924600550103,0.01660467587672687,Slight or No change
95,INFRATEL,EQ,28-Sep-2017,382.65,380.0,395.7,375.0,391.6,392.6,387.31,2458127,952053227.65,62477,1374513,55.92,9,2017,386.64134793436483,0.026002874689664335,Slight or No change
96,INFRATEL,EQ,29-Sep-2017,392.6,393.6,411.7,393.05,397.65,398.4,401.57,5139940,2064056191.5,117621,3013026,58.62,9,2017,386.8896030689035,0.014773306164034494,Slight or No change
97,INFRATEL,EQ,03-Oct-2017,398.4,404.9,410.2,399.0,406.95,408.5,408.0,4036851,1647041887.6,77219,2669169,66.12,10,2017,387.24209232699866,0.025351405622489942,Slight or No change
98,INFRATEL,EQ,04-Oct-2017,408.5,408.5,419.65,408.0,416.0,416.5,414.38,3456681,1432383908.0,48328,2441485,70.63,10,2017,387.6451054764478,0.019583843329253448,Slight or No change
99,INFRATEL,EQ,05-Oct-2017,416.5,412.1,413.0,402.65,404.55,404.65,406.0,1920244,779616716.55,46332,859337,44.75,10,2017,387.77423824175156,-0.028451380552220962,Slight or No change
100,INFRATEL,EQ,06-Oct-2017,404.65,407.8,409.9,399.0,399.4,399.95,401.56,2028197,814450659.0,48392,1405927,69.32,10,2017,387.8711201953617,-0.011614975905103186,Slight or No change
101,INFRATEL,EQ,09-Oct-2017,399.95,402.8,405.95,397.55,398.0,398.5,400.86,1385786,555507775.6,27378,770717,55.62,10,2017,387.92859341882854,-0.003625453181647642,Slight or No change
102,INFRATEL,EQ,10-Oct-2017,398.5,398.5,404.55,398.5,400.5,399.85,401.77,2029807,815521316.55,56035,1374426,67.71,10,2017,388.022271499317,0.00338770388958598,Slight or No change
103,INFRATEL,EQ,11-Oct-2017,399.85,403.0,414.0,401.9,410.7,410.5,409.87,5104904,2092353608.6,79133,3467958,67.93,10,2017,388.4578803275937,0.02663498812054521,Slight or No change
104,INFRATEL,EQ,12-Oct-2017,410.5,412.8,438.0,402.7,432.3,432.0,430.2,10400395,4474201223.0,159805,5137278,49.4,10,2017,390.1117406191736,0.052375152253349544,Slight or No change
105,INFRATEL,EQ,13-Oct-2017,432.0,434.95,455.0,432.8,450.0,449.95,447.33,16946705,7580700788.7,137518,12184270,71.9,10,2017,393.59931809826236,0.04155092592592591,Slight or No change
106,INFRATEL,EQ,16-Oct-2017,449.95,455.95,474.25,450.6,467.5,471.5,461.23,9404756,4337792190.8,175100,6285964,66.84,10,2017,396.0400696583589,0.04789421046782971,Slight or No change
107,INFRATEL,EQ,17-Oct-2017,471.5,468.0,482.8,467.0,479.45,479.2,476.0,9080336,4322205063.9,171278,5913705,65.13,10,2017,398.4818571460039,0.016330858960763583,Slight or No change
108,INFRATEL,EQ,18-Oct-2017,479.2,476.7,482.0,460.05,461.65,461.75,465.83,3847393,1792223070.95,104759,2279686,59.25,10,2017,399.2593093570869,-0.036414858096827984,Slight or No change
109,INFRATEL,EQ,19-Oct-2017,461.75,462.0,464.4,458.35,460.0,460.25,461.22,234833,108308580.55,3050,47529,20.24,10,2017,399.3050201894716,-0.003248511099079643,Slight or No change
110,INFRATEL,EQ,23-Oct-2017,460.25,460.0,468.85,445.25,449.2,449.0,450.1,3468772,1561309774.0,115049,2140997,61.72,10,2017,399.84915089257726,-0.024443237370994075,Slight or No change
111,INFRATEL,EQ,24-Oct-2017,449.0,448.05,459.85,437.85,454.2,453.3,450.2,3495103,1573496893.65,87937,1757213,50.28,10,2017,400.43241388133777,0.009576837416481077,Slight or No change
112,INFRATEL,EQ,25-Oct-2017,453.3,458.9,464.35,450.8,451.1,452.15,457.56,2720627,1244852106.7,54074,1683203,61.87,10,2017,400.8680097050658,-0.0025369512464152866,Slight or No change
113,INFRATEL,EQ,26-Oct-2017,452.15,451.5,465.0,436.45,458.9,455.4,447.5,2343242,1048594438.3,51028,1221292,52.12,10,2017,401.26075033526973,0.007187880128276092,Slight or No change
114,INFRATEL,EQ,27-Oct-2017,455.4,453.0,454.0,415.0,419.0,418.55,426.85,4527007,1932353933.85,64660,1601900,35.39,10,2017,401.4980098188985,-0.08091787439613518,Slight or No change
115,INFRATEL,EQ,30-Oct-2017,418.55,423.7,435.0,421.7,427.7,429.7,428.05,4402673,1884584144.3,52505,2333582,53.0,10,2017,401.8694378516206,0.026639589057460222,Slight or No change
116,INFRATEL,EQ,31-Oct-2017,429.7,428.5,448.35,419.2,441.95,442.15,434.22,5952903,2584890781.1,68131,2451379,41.18,10,2017,402.5741911170208,0.028973702583197536,Slight or No change
117,INFRATEL,EQ,01-Nov-2017,442.15,446.0,452.0,422.4,425.3,426.55,435.01,3573242,1554387672.6,45367,1210580,33.88,11,2017,402.8233700120345,-0.03528214406875485,Slight or No change
118,INFRATEL,EQ,02-Nov-2017,426.55,428.0,428.7,415.6,417.7,418.65,421.85,2632114,1110370187.2,65274,1246305,47.35,11,2017,402.9436121172019,-0.01852068925096717,Slight or No change
119,INFRATEL,EQ,03-Nov-2017,418.65,419.0,421.3,412.05,413.5,413.75,416.69,1624837,677045705.8,38468,693847,42.7,11,2017,402.9940575320107,-0.011704287591066453,Slight or No change
120,INFRATEL,EQ,06-Nov-2017,413.75,417.15,429.0,413.0,423.95,424.05,424.18,3603506,1528541620.25,87162,1876653,52.08,11,2017,403.2098112276955,0.024894259818731168,Slight or No change
121,INFRATEL,EQ,07-Nov-2017,424.05,427.05,432.95,420.5,429.15,427.05,426.41,3101792,1322625807.9,90330,1679073,54.13,11,2017,403.4182444610621,0.007074637424832053,Slight or No change
122,INFRATEL,EQ,08-Nov-2017,427.05,432.0,439.6,430.1,435.5,435.15,435.33,4412381,1920831411.0,91680,2733119,61.94,11,2017,403.8080461148218,0.018967334035827177,Slight or No change
123,INFRATEL,EQ,09-Nov-2017,435.15,438.45,443.45,424.45,428.0,429.2,438.37,4969389,2178440075.55,71767,3556635,71.57,11,2017,404.15455023348056,-0.013673445938182205,Slight or No change
124,INFRATEL,EQ,10-Nov-2017,429.2,423.85,432.6,421.7,426.8,426.75,426.98,3348288,1429643020.4,84433,2203207,65.8,11,2017,404.3604131739441,-0.00570829450139787,Slight or No change
125,INFRATEL,EQ,13-Nov-2017,426.75,429.4,429.4,405.25,413.0,415.5,420.14,3422752,1438036106.75,85426,2102888,61.44,11,2017,404.4632036404951,-0.026362038664323406,Slight or No change
126,INFRATEL,EQ,14-Nov-2017,415.5,406.0,406.4,391.5,394.75,396.95,400.44,131335426,52591607669.2,127738,87880418,66.91,11,2017,402.4986044043673,-0.04464500601684718,Slight or No change
127,INFRATEL,EQ,15-Nov-2017,396.95,396.0,399.4,375.15,380.4,377.65,388.58,3278094,1273817333.25,56268,1503317,45.86,11,2017,402.337478613107,-0.04862073308980985,Slight or No change
128,INFRATEL,EQ,16-Nov-2017,377.65,381.1,392.5,380.35,385.85,384.65,387.25,5469875,2118186538.3,90051,2751195,50.3,11,2017,402.1481521816204,0.01853568118628357,Slight or No change
129,INFRATEL,EQ,17-Nov-2017,384.65,387.45,388.8,376.55,380.55,380.15,381.59,3328012,1269943827.15,87704,1884632,56.63,11,2017,402.00581452884165,-0.011698947094761492,Slight or No change
130,INFRATEL,EQ,20-Nov-2017,380.15,385.4,392.9,381.7,383.55,383.7,386.29,6432184,2484692534.45,119105,4171891,64.86,11,2017,401.77971546464545,0.009338419045113788,Slight or No change
131,INFRATEL,EQ,21-Nov-2017,383.7,386.4,386.95,381.0,382.65,383.55,383.37,3626367,1390222929.85,92107,2528858,69.74,11,2017,401.6536520128334,-0.0003909304143862036,Slight or No change
132,INFRATEL,EQ,22-Nov-2017,383.55,385.8,385.8,373.6,378.0,376.45,377.19,5752823,2169919139.5,140607,3942396,68.53,11,2017,401.3801606348426,-0.01851127623517146,Slight or No change
133,INFRATEL,EQ,23-Nov-2017,376.45,381.15,386.4,373.1,375.4,374.6,380.23,4561646,1734465489.45,90510,2285646,50.11,11,2017,401.1516991209922,-0.0049143312524903005,Slight or No change
